Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Netherlands;Eredivisie;1;2026-08-07;Cambuur;Excelsior;0;4;
Netherlands;Eredivisie;1;2026-08-08;Alkmaar;Den Haag;2;0;
Netherlands;Eredivisie;1;2026-08-08;G.A. Eagles;Willem II;4;1;
Netherlands;Eredivisie;1;2026-08-08;Nijmegen;Telstar;1;2;
Netherlands;Eredivisie;1;2026-08-08;PSV;Sittard;2;2;
Netherlands;Eredivisie;1;2026-08-09;Groningen;Utrecht;2;1;
Netherlands;Eredivisie;1;2026-08-09;Heerenveen;Twente;1;0;
Netherlands;Eredivisie;1;2026-08-09;Sparta Rotterdam;Feyenoord;0;1;
Netherlands;Eredivisie;1;2026-08-09;Zwolle;Ajax;0;2;
Netherlands;Eredivisie;2;2026-08-14;Telstar;Sparta Rotterdam;1;3;
Netherlands;Eredivisie;2;2026-08-15;Excelsior;PSV;1;2;
Netherlands;Eredivisie;2;2026-08-15;Sittard;Cambuur;3;1;
Netherlands;Eredivisie;2;2026-08-15;Utrecht;Alkmaar;1;4;
Netherlands;Eredivisie;2;2026-08-15;Willem II;Nijmegen;1;4;
