Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Poland;III Liga - Group III;1;2026-07-31;Brzeg;Goczalkowice Zdroj;1;1;
Poland;III Liga - Group III;1;2026-07-31;Polkowice;Rakow II;5;4;
Poland;III Liga - Group III;1;2026-08-01;Bytom Odrzanski;Nysa;3;0;
Poland;III Liga - Group III;1;2026-08-01;Carina Gubin;Legnica II;2;1;
Poland;III Liga - Group III;1;2026-08-01;Jelenia Gora;Sosnowiec;0;0;
Poland;III Liga - Group III;1;2026-08-01;ROW Rybnik;Warta Gorzow;5;1;
Poland;III Liga - Group III;1;2026-08-01;Stilon Gorzow;Sleza Wroclaw;3;1;
Poland;III Liga - Group III;1;2026-08-01;Sulow;Kluczbork;2;0;
Poland;III Liga - Group III;1;2026-08-01;Zaglebie II;BKS Sparta Katowice;1;0;
Poland;III Liga - Group III;2;2026-08-07;Brzeg;Sleza Wroclaw;5;1;
Poland;III Liga - Group III;2;2026-08-08;BKS Sparta Katowice;Stilon Gorzow;2;1;
Poland;III Liga - Group III;2;2026-08-08;Jelenia Gora;ROW Rybnik;1;0;
Poland;III Liga - Group III;2;2026-08-08;Kluczbork;Polkowice;2;1;
Poland;III Liga - Group III;2;2026-08-08;Nysa;Zaglebie II;2;2;
Poland;III Liga - Group III;2;2026-08-08;Rakow II;Bytom Odrzanski;0;1;
Poland;III Liga - Group III;2;2026-08-08;Warta Gorzow;Carina Gubin;2;1;
