Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Slovakia;2. Liga;1;2026-07-25;FK Humenne;Presov;1;2;
Slovakia;2. Liga;1;2026-07-25;Galanta;Zvolen;1;1;
Slovakia;2. Liga;1;2026-07-25;Lehota p. V.;Pohronie;3;3;
Slovakia;2. Liga;1;2026-07-25;MFK Bytca;L. Mikulas;0;5;
Slovakia;2. Liga;1;2026-07-25;Povazska Bystrica;Inter Bratislava;3;1;
Slovakia;2. Liga;1;2026-07-26;S. Bratislava B;Z. Moravce-Vrable;0;1;
Slovakia;2. Liga;1;2026-07-26;Zilina B;Petrzalka;0;2;
Slovakia;2. Liga;1;2026-07-28;Samorin;Malzenice;2;0;
Slovakia;2. Liga;2;2026-07-31;L. Mikulas;Galanta;2;0;
Slovakia;2. Liga;2;2026-07-31;Pohronie;Povazska Bystrica;2;1;
Slovakia;2. Liga;2;2026-08-01;Samorin;FK Humenne;3;1;
Slovakia;2. Liga;2;2026-08-01;Z. Moravce-Vrable;Lehota p. V.;2;2;
Slovakia;2. Liga;2;2026-08-01;Zvolen;Presov;0;1;
Slovakia;2. Liga;2;2026-08-02;Malzenice;S. Bratislava B;4;2;
Slovakia;2. Liga;2;2026-08-02;Petrzalka;MFK Bytca;4;0;
Slovakia;2. Liga;2;2026-08-03;Inter Bratislava;Zilina B;0;1;
Slovakia;2. Liga;3;2026-08-08;FK Humenne;Zvolen;1;0;
Slovakia;2. Liga;3;2026-08-08;Galanta;Petrzalka;0;3;
Slovakia;2. Liga;3;2026-08-08;Lehota p. V.;Malzenice;1;1;
Slovakia;2. Liga;3;2026-08-08;MFK Bytca;Inter Bratislava;0;3;
Slovakia;2. Liga;3;2026-08-08;Presov;L. Mikulas;1;1;
Slovakia;2. Liga;3;2026-08-09;S. Bratislava B;Samorin;1;2;
Slovakia;2. Liga;3;2026-08-09;Zilina B;Pohronie;2;1;
Slovakia;2. Liga;3;2026-08-10;Povazska Bystrica;Z. Moravce-Vrable;2;1;
Slovakia;2. Liga;4;2026-08-14;L. Mikulas;Zvolen;2;2;
Slovakia;2. Liga;4;2026-08-14;Pohronie;MFK Bytca;3;1;
