Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Spain;La Liga;1;2026-08-15;Alaves;Getafe;3;0;
Spain;La Liga;1;2026-08-15;Siviglia;Vallecano;2;1;
Spain;La Liga;1;2026-08-16;Espanyol;Levante;3;0;
Spain;La Liga;1;2026-08-16;Racing Santander;Villarreal;2;2;
Spain;La Liga;1;2026-08-17;A Coruna;Elche;1;1;
Spain;La Liga;1;2026-08-19;Atl. Madrid;Malaga;2;0;
Spain;La Liga;1;2026-08-25;Valencia;Betis;0;1;
Spain;La Liga;1;2026-08-26;Real Madrid;Real Sociedad;4;1;
Spain;La Liga;2;2026-08-20;Vallecano;Alaves;1;1;
Spain;La Liga;2;2026-08-23;Atl. Madrid;Villarreal;2;2;
Spain;La Liga;2;2026-08-23;Elche;Barcellona;0;5;
Spain;La Liga;2;2026-08-23;Getafe;Racing Santander;1;0;
Spain;La Liga;2;2026-08-24;Malaga;A Coruna;1;1;
Spain;La Liga;2;2026-08-24;Osasuna;Levante;0;0;
Spain;La Liga;2;2026-08-29;Real Sociedad;Espanyol;2;1;
Spain;La Liga;3;2026-08-27;Barcellona;Ath. Bilbao;2;0;
Spain;La Liga;3;2026-08-27;Celta Vigo;Osasuna;1;2;
Spain;La Liga;3;2026-08-28;Alaves;Villarreal;1;0;
Spain;La Liga;3;2026-08-28;Racing Santander;Elche;3;2;
Spain;La Liga;3;2026-08-29;Levante;Betis;5;2;
Spain;La Liga;3;2026-08-29;Siviglia;Atl. Madrid;1;3;
Spain;La Liga;3;2026-08-30;A Coruna;Valencia;3;1;
Spain;La Liga;3;2026-08-30;Real Madrid;Malaga;4;0;
Spain;La Liga;4;2026-08-30;Celta Vigo;Ath. Bilbao;0;2;
Spain;La Liga;4;2026-08-31;Barcellona;Vallecano;5;2;
Spain;La Liga;4;2026-08-31;Osasuna;Getafe;1;0;
