Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Sri Lanka;Super League;1;2026-07-11;New Young's SC;Blue Eagles;1;1;
Sri Lanka;Super League;1;2026-07-12;Colombo;Defenders FC;0;0;
Sri Lanka;Super League;1;2026-07-17;Blue Star;UP Country Lions;1;9;
Sri Lanka;Super League;1;2026-07-18;Renown;Ratnam;3;0;
Sri Lanka;Super League;1;2026-07-20;Sea Hawks;Red Star;1;0;
Sri Lanka;Super League;2;2026-07-25;Blue Star;Blue Eagles;3;1;
Sri Lanka;Super League;2;2026-07-26;Colombo;New Young's SC;3;0;
Sri Lanka;Super League;2;2026-07-27;Sea Hawks;Ratnam;7;0;
Sri Lanka;Super League;2;2026-07-28;Renown;Defenders FC;3;0;
Sri Lanka;Super League;2;2026-07-29;UP Country Lions;Red Star;4;0;
Sri Lanka;Super League;3;2026-08-01;Renown;New Young's SC;10;0;
Sri Lanka;Super League;3;2026-08-02;Red Star;Blue Star;2;0;
Sri Lanka;Super League;3;2026-08-03;Colombo;Ratnam;5;0;
Sri Lanka;Super League;3;2026-08-04;Sea Hawks;UP Country Lions;0;1;
Sri Lanka;Super League;3;2026-08-05;Blue Eagles;Defenders FC;2;0;
Sri Lanka;Super League;4;2026-08-07;Colombo;Renown;0;0;
Sri Lanka;Super League;4;2026-08-08;Red Star;New Young's SC;3;3;
Sri Lanka;Super League;4;2026-08-09;Ratnam;Blue Eagles;0;2;
Sri Lanka;Super League;4;2026-08-10;Blue Star;Sea Hawks;0;0;
Sri Lanka;Super League;4;2026-08-11;UP Country Lions;Defenders FC;2;1;
Sri Lanka;Super League;5;2026-08-14;Blue Eagles;Colombo;0;1;
