Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
Sweden;Division 1 Norra;2026;1;2026-04-03;Arlanda;Vasalund;2;1;
Sweden;Division 1 Norra;2026;1;2026-04-03;FBK Karlstad;Gefle;2;1;
Sweden;Division 1 Norra;2026;1;2026-04-04;AFC Eskilstuna;Jarfalla;1;1;
Sweden;Division 1 Norra;2026;1;2026-04-04;Enkoping SK;Stocksund;3;2;
Sweden;Division 1 Norra;2026;1;2026-04-04;Sollentuna;Karlbergs;0;1;
Sweden;Division 1 Norra;2026;1;2026-04-05;Assyriska FF;Stockholm Internazionale;1;2;
Sweden;Division 1 Norra;2026;1;2026-04-06;Hammarby TFF;Umeå;1;2;
Sweden;Division 1 Norra;2026;1;2026-04-06;Karlstad;Pitea;2;1;
Sweden;Division 1 Norra;2026;2;2026-04-10;Karlbergs;Enkoping SK;1;3;
Sweden;Division 1 Norra;2026;2;2026-04-11;Gefle;AFC Eskilstuna;4;3;
Sweden;Division 1 Norra;2026;2;2026-04-11;Jarfalla;Sollentuna;0;1;
Sweden;Division 1 Norra;2026;2;2026-04-11;Stocksund;Hammarby TFF;2;4;
Sweden;Division 1 Norra;2026;2;2026-04-12;Pitea;Assyriska FF;0;2;
Sweden;Division 1 Norra;2026;2;2026-04-12;Stockholm Internazionale;Karlstad;0;1;
Sweden;Division 1 Norra;2026;2;2026-04-12;Umeå;Arlanda;0;1;
Sweden;Division 1 Norra;2026;2;2026-04-12;Vasalund;FBK Karlstad;1;3;
Sweden;Division 1 Norra;2026;3;2026-04-18;Arlanda;Stockholm Internazionale;0;0;
Sweden;Division 1 Norra;2026;3;2026-04-18;Enkoping SK;FBK Karlstad;2;1;
Sweden;Division 1 Norra;2026;3;2026-04-18;Gefle;Sollentuna;1;2;
Sweden;Division 1 Norra;2026;3;2026-04-18;Karlstad;Jarfalla;2;1;
Sweden;Division 1 Norra;2026;3;2026-04-19;Assyriska FF;Karlbergs;3;4;
Sweden;Division 1 Norra;2026;3;2026-04-19;Pitea;Hammarby TFF;1;4;
Sweden;Division 1 Norra;2026;3;2026-04-19;Vasalund;Umeå;3;1;
Sweden;Division 1 Norra;2026;3;2026-04-20;Stocksund;AFC Eskilstuna;4;4;
Sweden;Division 1 Norra;2026;4;2026-04-24;Enkoping SK;Arlanda;1;7;
Sweden;Division 1 Norra;2026;4;2026-04-25;FBK Karlstad;Stocksund;1;0;
Sweden;Division 1 Norra;2026;4;2026-04-25;Sollentuna;Assyriska FF;0;0;
Sweden;Division 1 Norra;2026;4;2026-04-26;AFC Eskilstuna;Karlstad;0;2;
Sweden;Division 1 Norra;2026;4;2026-04-26;Jarfalla;Pitea;1;0;
Sweden;Division 1 Norra;2026;4;2026-04-26;Karlbergs;Gefle;3;2;
Sweden;Division 1 Norra;2026;4;2026-04-26;Stockholm Internazionale;Umeå;3;0;
Sweden;Division 1 Norra;2026;4;2026-04-27;Hammarby TFF;Vasalund;2;2;
Sweden;Division 1 Norra;2026;5;2026-05-01;Stocksund;Vasalund;2;2;
Sweden;Division 1 Norra;2026;5;2026-05-02;AFC Eskilstuna;FBK Karlstad;0;2;
Sweden;Division 1 Norra;2026;5;2026-05-02;Gefle;Enkoping SK;2;1;
