Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
Sweden;Sodra Svealand;2026;1;2026-03-27;Ragsved;Nacka FC;1;0;
Sweden;Sodra Svealand;2026;1;2026-03-28;Eker Orebro;Smedby;2;6;
Sweden;Sodra Svealand;2026;1;2026-03-28;Fittja;Syrianska;0;0;
Sweden;Sodra Svealand;2026;1;2026-03-28;Sleipner;Haninge;2;0;
Sweden;Sodra Svealand;2026;1;2026-03-29;Lindo FF;Farsta;2;1;
Sweden;Sodra Svealand;2026;1;2026-03-29;Nykopings;Orebro Syr.;3;0;
Sweden;Sodra Svealand;2026;1;2026-06-17;Forward;Karlslund;2;2;
Sweden;Sodra Svealand;2026;2;2026-04-03;Farsta;Sleipner;4;1;
Sweden;Sodra Svealand;2026;2;2026-04-03;Nacka FC;Fittja;2;1;
Sweden;Sodra Svealand;2026;2;2026-04-03;Smedby;Lindo FF;2;0;
Sweden;Sodra Svealand;2026;2;2026-04-04;Syrianska;Nykopings;3;1;
Sweden;Sodra Svealand;2026;2;2026-04-05;Haninge;Forward;0;2;
Sweden;Sodra Svealand;2026;2;2026-04-05;Karlslund;Eker Orebro;1;1;
Sweden;Sodra Svealand;2026;2;2026-04-05;Orebro Syr.;Ragsved;1;1;
Sweden;Sodra Svealand;2026;3;2026-04-11;Fittja;Sleipner;1;2;
Sweden;Sodra Svealand;2026;3;2026-04-11;Lindo FF;Syrianska;2;3;
Sweden;Sodra Svealand;2026;3;2026-04-11;Nacka FC;Farsta;3;2;
Sweden;Sodra Svealand;2026;3;2026-04-11;Nykopings;Haninge;6;1;
Sweden;Sodra Svealand;2026;3;2026-04-11;Orebro Syr.;Karlslund;0;1;
Sweden;Sodra Svealand;2026;3;2026-04-11;Ragsved;Eker Orebro;2;0;
Sweden;Sodra Svealand;2026;3;2026-04-12;Forward;Smedby;0;2;
Sweden;Sodra Svealand;2026;4;2026-04-18;Fittja;Farsta;3;2;
Sweden;Sodra Svealand;2026;4;2026-04-18;Haninge;Ragsved;2;2;
Sweden;Sodra Svealand;2026;4;2026-04-18;Karlslund;Nykopings;0;1;
Sweden;Sodra Svealand;2026;4;2026-04-18;Smedby;Nacka FC;3;1;
Sweden;Sodra Svealand;2026;4;2026-04-18;Syrianska;Orebro Syr.;0;7;
Sweden;Sodra Svealand;2026;4;2026-04-19;Eker Orebro;Lindo FF;0;3;
Sweden;Sodra Svealand;2026;4;2026-04-19;Sleipner;Forward;1;1;
Sweden;Sodra Svealand;2026;5;2026-04-24;Farsta;Syrianska;2;1;
Sweden;Sodra Svealand;2026;5;2026-04-24;Ragsved;Fittja;4;2;
Sweden;Sodra Svealand;2026;5;2026-04-25;Eker Orebro;Orebro Syr.;1;0;
Sweden;Sodra Svealand;2026;5;2026-04-25;Nacka FC;Sleipner;1;2;
Sweden;Sodra Svealand;2026;5;2026-04-25;Smedby;Karlslund;4;1;
Sweden;Sodra Svealand;2026;5;2026-04-26;Lindo FF;Haninge;0;2;
Sweden;Sodra Svealand;2026;5;2026-04-26;Nykopings;Forward;2;0;
Sweden;Sodra Svealand;2026;6;2026-05-02;Forward;Eker Orebro;2;5;
Sweden;Sodra Svealand;2026;6;2026-05-02;Lindo FF;Sleipner;2;3;
Sweden;Sodra Svealand;2026;6;2026-05-02;Ragsved;Karlslund;3;1;
Sweden;Sodra Svealand;2026;6;2026-05-02;Syrianska;Haninge;3;4;
Sweden;Sodra Svealand;2026;6;2026-05-03;Fittja;Smedby;5;3;
Sweden;Sodra Svealand;2026;6;2026-05-03;Nykopings;Farsta;3;1;
Sweden;Sodra Svealand;2026;6;2026-05-03;Orebro Syr.;Nacka FC;2;0;
Sweden;Sodra Svealand;2026;7;2026-05-07;Sleipner;Syrianska;2;1;
Sweden;Sodra Svealand;2026;7;2026-05-09;Farsta;Orebro Syr.;1;0;
Sweden;Sodra Svealand;2026;7;2026-05-09;Haninge;Fittja;5;2;
Sweden;Sodra Svealand;2026;7;2026-05-09;Karlslund;Lindo FF;0;0;
Sweden;Sodra Svealand;2026;7;2026-05-09;Smedby;Ragsved;0;2;
Sweden;Sodra Svealand;2026;7;2026-05-10;Eker Orebro;Nykopings;1;1;
Sweden;Sodra Svealand;2026;7;2026-05-10;Nacka FC;Forward;1;2;
Sweden;Sodra Svealand;2026;8;2026-05-14;Nykopings;Lindo FF;1;0;
Sweden;Sodra Svealand;2026;8;2026-05-14;Sleipner;Smedby;1;1;
Sweden;Sodra Svealand;2026;8;2026-05-15;Forward;Orebro Syr.;2;0;
Sweden;Sodra Svealand;2026;8;2026-05-15;Ragsved;Farsta;0;1;
Sweden;Sodra Svealand;2026;8;2026-05-16;Haninge;Karlslund;1;0;
Sweden;Sodra Svealand;2026;8;2026-05-16;Syrianska;Nacka FC;2;2;
Sweden;Sodra Svealand;2026;8;2026-05-17;Fittja;Eker Orebro;3;2;
Sweden;Sodra Svealand;2026;9;2026-05-22;Farsta;Haninge;5;0;
Sweden;Sodra Svealand;2026;9;2026-05-23;Lindo FF;Forward;2;4;
Sweden;Sodra Svealand;2026;9;2026-05-23;Orebro Syr.;Fittja;1;0;
Sweden;Sodra Svealand;2026;9;2026-05-23;Ragsved;Nykopings;1;2;
Sweden;Sodra Svealand;2026;9;2026-05-23;Smedby;Syrianska;4;0;
Sweden;Sodra Svealand;2026;9;2026-05-24;Eker Orebro;Sleipner;3;2;
Sweden;Sodra Svealand;2026;9;2026-05-24;Karlslund;Nacka FC;2;1;
Sweden;Sodra Svealand;2026;10;2026-05-29;Nacka FC;Nykopings;0;2;
Sweden;Sodra Svealand;2026;10;2026-05-30;Fittja;Lindo FF;3;0;
Sweden;Sodra Svealand;2026;10;2026-05-30;Forward;Ragsved;4;3;
Sweden;Sodra Svealand;2026;10;2026-05-30;Smedby;Farsta;1;1;
Sweden;Sodra Svealand;2026;10;2026-05-31;Haninge;Eker Orebro;3;1;
Sweden;Sodra Svealand;2026;10;2026-05-31;Sleipner;Orebro Syr.;1;0;
Sweden;Sodra Svealand;2026;10;2026-05-31;Syrianska;Karlslund;3;2;
Sweden;Sodra Svealand;2026;11;2026-06-06;Eker Orebro;Syrianska;3;2;
Sweden;Sodra Svealand;2026;11;2026-06-06;Farsta;Forward;2;1;
Sweden;Sodra Svealand;2026;11;2026-06-06;Nacka FC;Haninge;1;5;
Sweden;Sodra Svealand;2026;11;2026-06-06;Nykopings;Fittja;0;2;
Sweden;Sodra Svealand;2026;11;2026-06-06;Ragsved;Lindo FF;4;2;
Sweden;Sodra Svealand;2026;11;2026-06-07;Karlslund;Sleipner;1;3;
Sweden;Sodra Svealand;2026;11;2026-06-07;Orebro Syr.;Smedby;2;1;
Sweden;Sodra Svealand;2026;12;2026-06-13;Farsta;Eker Orebro;4;0;
Sweden;Sodra Svealand;2026;12;2026-06-13;Fittja;Karlslund;2;1;
Sweden;Sodra Svealand;2026;12;2026-06-13;Haninge;Orebro Syr.;3;0;
Sweden;Sodra Svealand;2026;12;2026-06-13;Sleipner;Ragsved;4;4;
Sweden;Sodra Svealand;2026;12;2026-06-14;Lindo FF;Nacka FC;4;0;
Sweden;Sodra Svealand;2026;12;2026-06-14;Syrianska;Forward;0;1;
Sweden;Sodra Svealand;2026;12;2026-06-15;Nykopings;Smedby;0;1;
Sweden;Sodra Svealand;2026;13;2026-06-21;Forward;Fittja;3;1;
Sweden;Sodra Svealand;2026;13;2026-06-21;Karlslund;Farsta;1;0;
Sweden;Sodra Svealand;2026;13;2026-06-21;Nacka FC;Eker Orebro;0;1;
Sweden;Sodra Svealand;2026;13;2026-06-21;Orebro Syr.;Lindo FF;0;2;
Sweden;Sodra Svealand;2026;13;2026-06-21;Smedby;Haninge;1;4;
Sweden;Sodra Svealand;2026;13;2026-06-22;Sleipner;Nykopings;1;1;
Sweden;Sodra Svealand;2026;13;2026-06-22;Syrianska;Ragsved;2;2;
Sweden;Sodra Svealand;2026;13;2026-06-25;Nykopings;Nacka FC;4;1;
Sweden;Sodra Svealand;2026;14;2026-06-24;Lindo FF;Smedby;2;0;
Sweden;Sodra Svealand;2026;14;2026-06-25;Nykopings;Nacka FC;4;1;
