Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Switzerland;Promotion League;1;2026-07-31;Bruhl SG;Young Boys 2;4;2;
Switzerland;Promotion League;1;2026-08-01;Bellinzona;Bavois;0;2;
Switzerland;Promotion League;1;2026-08-01;Cham;Breitenrain;2;1;
Switzerland;Promotion League;1;2026-08-01;Grand-Saconnex;Amical Saint-Prex;6;0;
Switzerland;Promotion League;1;2026-08-01;Kreuzlingen;Basilea 2;3;1;
Switzerland;Promotion League;1;2026-08-01;YF Juventus;Luzerna 2;0;3;
Switzerland;Promotion League;1;2026-08-02;Lugano 2;Bulle;1;4;
Switzerland;Promotion League;1;2026-08-02;Paradiso;Schaffhausen;1;2;
Switzerland;Promotion League;1;2026-08-02;Zurigo 2;Biel;0;1;
Switzerland;Promotion League;2;2026-08-08;Basilea 2;Grand-Saconnex;1;2;
Switzerland;Promotion League;2;2026-08-08;Bavois;Zurigo 2;2;2;
Switzerland;Promotion League;2;2026-08-08;Breitenrain;Bulle;2;2;
Switzerland;Promotion League;2;2026-08-08;Cham;Paradiso;0;2;
Switzerland;Promotion League;2;2026-08-08;Luzerna 2;Bruhl SG;0;2;
Switzerland;Promotion League;2;2026-08-08;Schaffhausen;Kreuzlingen;3;0;
Switzerland;Promotion League;2;2026-08-09;Amical Saint-Prex;Bellinzona;1;0;
Switzerland;Promotion League;2;2026-08-09;Biel;YF Juventus;4;2;
Switzerland;Promotion League;2;2026-08-09;Young Boys 2;Lugano 2;3;1;
Switzerland;Promotion League;3;2026-08-15;Lugano 2;Luzerna 2;4;3;
Switzerland;Promotion League;3;2026-08-15;Paradiso;Breitenrain;1;2;
Switzerland;Promotion League;3;2026-08-18;Bellinzona;Basilea 2;2;3;
