Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
Turkey;Süper Lig;1;2026-08-14;Galatasaray;Corum;2;2;
Turkey;Süper Lig;1;2026-08-15;Gaziantep;Alanyaspor;1;1;
Turkey;Süper Lig;1;2026-08-15;Genclerbirligi;Fenerbahce;2;1;
Turkey;Süper Lig;1;2026-08-15;Kasimpasa;Trabzonspor;1;1;
Turkey;Süper Lig;1;2026-08-15;Konyaspor;Rizespor;0;1;
Turkey;Süper Lig;1;2026-08-16;Amedspor;Erzurumspor;3;0;
Turkey;Süper Lig;1;2026-08-16;Basaksehir;Kocaelispor;2;0;
Turkey;Süper Lig;1;2026-08-16;Besiktas;Eyupspor;1;0;
Turkey;Süper Lig;1;2026-08-17;Samsunspor;Goztepe;3;3;
Turkey;Süper Lig;2;2026-08-23;Alanyaspor;Besiktas;1;0;
Turkey;Süper Lig;2;2026-08-23;Eyupspor;Gaziantep;0;1;
Turkey;Süper Lig;2;2026-08-23;Goztepe;Genclerbirligi;0;1;
Turkey;Süper Lig;2;2026-08-23;Trabzonspor;Basaksehir;2;1;
Turkey;Süper Lig;2;2026-08-24;Kocaelispor;Amedspor;2;0;
Turkey;Süper Lig;2;2026-08-30;Samsunspor;Fenerbahce;0;2;
Turkey;Süper Lig;3;2026-08-28;Genclerbirligi;Erzurumspor;1;1;
Turkey;Süper Lig;3;2026-08-29;Galatasaray;Goztepe;3;2;
Turkey;Süper Lig;3;2026-08-29;Gaziantep;Rizespor;1;2;
Turkey;Süper Lig;3;2026-08-29;Konyaspor;Kocaelispor;1;2;
Turkey;Süper Lig;3;2026-08-30;Basaksehir;Kasimpasa;1;1;
Turkey;Süper Lig;3;2026-08-30;Eyupspor;Alanyaspor;2;1;
