Country;League;Round;MatchDate;Home;Away;HG;AG;Notes
USA;MLS Next Pro - Eastern Conference - Southeast Division;1;2026-08-13;Huntsville;Crown Legacy;2;2;Dopo Rigori 4-5
USA;MLS Next Pro - Eastern Conference - Southeast Division;1;2026-08-14;Atlanta United 2;New York Red Bulls 2;1;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;1;2026-08-15;Chicago Fire 2;Orlando City B;2;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;2;2026-08-08;Inter Miami 2;Crown Legacy;0;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;2;2026-08-09;Carolina Core;Huntsville;2;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;2;2026-08-09;Chattanooga;Atlanta United 2;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;2;2026-08-10;Chicago Fire 2;Toronto FC 2;2;4;
USA;MLS Next Pro - Eastern Conference - Southeast Division;3;2026-07-31;Atlanta United 2;Carolina Core;3;3;Dopo Rigori 9-10
USA;MLS Next Pro - Eastern Conference - Southeast Division;3;2026-08-01;Inter Miami 2;Chattanooga;0;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;3;2026-08-02;Chicago Fire 2;Cincinnati 2;7;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;3;2026-08-02;Huntsville;Crown Legacy;1;3;
USA;MLS Next Pro - Eastern Conference - Southeast Division;4;2026-07-25;Inter Miami 2;Toronto FC 2;2;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;4;2026-07-26;Atlanta United 2;New York City 2;3;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;4;2026-07-26;Carolina Core;Chicago Fire 2;1;5;
USA;MLS Next Pro - Eastern Conference - Southeast Division;4;2026-07-26;Chattanooga;Philadelphia 2;4;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;4;2026-07-27;Orlando City B;Huntsville;0;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;5;2026-07-18;Crown Legacy;Chicago Fire 2;3;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;5;2026-07-19;Chattanooga;Orlando City B;1;1;Dopo Rigori 3-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;5;2026-07-19;Huntsville;Atlanta United 2;2;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;5;2026-07-23;Carolina Core;Inter Miami 2;4;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;6;2026-07-12;Atlanta United 2;Inter Miami 2;4;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;6;2026-07-12;Carolina Core;Chattanooga;1;1;Dopo Rigori 2-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;6;2026-07-12;Chicago Fire 2;New York Red Bulls 2;3;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;6;2026-07-12;Crown Legacy;New York City 2;0;3;
USA;MLS Next Pro - Eastern Conference - Southeast Division;7;2026-07-05;Atlanta United 2;Toronto FC 2;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;7;2026-07-05;Chattanooga;Inter Miami 2;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;7;2026-07-06;Crown Legacy;Orlando City B;1;1;Dopo Rigori 4-2
USA;MLS Next Pro - Eastern Conference - Southeast Division;7;2026-07-06;Huntsville;Chicago Fire 2;2;2;Dopo Rigori 3-2
USA;MLS Next Pro - Eastern Conference - Southeast Division;8;2026-06-28;Atlanta United 2;Crown Legacy;3;3;Dopo Rigori 3-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;8;2026-06-28;Chattanooga;Chicago Fire 2;2;2;Dopo Rigori 4-1
USA;MLS Next Pro - Eastern Conference - Southeast Division;8;2026-06-29;Carolina Core;Huntsville;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;8;2026-06-29;Orlando City B;Columbus Crew 2;2;2;Dopo Rigori 4-5
USA;MLS Next Pro - Eastern Conference - Southeast Division;9;2026-06-14;Atlanta United 2;Chattanooga;4;4;Dopo Rigori 5-6
USA;MLS Next Pro - Eastern Conference - Southeast Division;9;2026-06-20;Inter Miami 2;Carolina Core;0;0;Dopo Rigori 1-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;9;2026-06-22;Orlando City B;Philadelphia 2;1;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;10;2026-06-07;Chattanooga;New York Red Bulls 2;4;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;10;2026-06-14;Carolina Core;Crown Legacy;2;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;10;2026-06-14;Chicago Fire 2;Inter Miami 2;3;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;10;2026-06-14;Huntsville;Orlando City B;1;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;11;2026-05-31;Huntsville;Connecticut FC;2;2;Dopo Rigori 0-3
USA;MLS Next Pro - Eastern Conference - Southeast Division;11;2026-06-06;Crown Legacy;Philadelphia 2;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;11;2026-06-07;Atlanta United 2;Chicago Fire 2;3;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;11;2026-06-08;Orlando City B;Carolina Core;3;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;12;2026-05-23;Chicago Fire 2;Huntsville;4;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;12;2026-05-23;Crown Legacy;New England Revolution 2;2;2;Dopo Rigori 3-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;12;2026-05-31;Carolina Core;New York Red Bulls 2;1;1;Dopo Rigori 5-6
USA;MLS Next Pro - Eastern Conference - Southeast Division;12;2026-06-01;Orlando City B;Chattanooga;5;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;13;2026-05-17;Huntsville;Atlanta United 2;2;6;
USA;MLS Next Pro - Eastern Conference - Southeast Division;13;2026-05-24;Chattanooga;Carolina Core;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;13;2026-05-25;Orlando City B;Inter Miami 2;4;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;14;2026-05-11;Atlanta United 2;Orlando City B;0;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;14;2026-05-14;Huntsville;Cincinnati 2;4;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;14;2026-05-17;Carolina Core;Chicago Fire 2;2;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;14;2026-05-18;Inter Miami 2;Crown Legacy;1;5;
USA;MLS Next Pro - Eastern Conference - Southeast Division;15;2026-05-08;Huntsville;Carolina Core;3;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;15;2026-05-09;Chicago Fire 2;Crown Legacy;3;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;15;2026-05-09;Inter Miami 2;Chattanooga;1;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;16;2026-05-03;Carolina Core;Atlanta United 2;1;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;16;2026-05-03;Chattanooga;Huntsville;0;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;16;2026-05-04;Orlando City B;Crown Legacy;2;2;Dopo Rigori 4-5
USA;MLS Next Pro - Eastern Conference - Southeast Division;17;2026-04-19;Inter Miami 2;Huntsville;2;4;
USA;MLS Next Pro - Eastern Conference - Southeast Division;17;2026-04-26;Carolina Core;Crown Legacy;2;2;Dopo Rigori 4-2
USA;MLS Next Pro - Eastern Conference - Southeast Division;17;2026-04-26;Chicago Fire 2;Orlando City B;2;2;Dopo Rigori 2-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;18;2026-04-18;Chicago Fire 2;Atlanta United 2;0;3;
USA;MLS Next Pro - Eastern Conference - Southeast Division;18;2026-04-19;Crown Legacy;Chattanooga;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;18;2026-04-20;Orlando City B;Carolina Core;2;2;Dopo Rigori 6-5
USA;MLS Next Pro - Eastern Conference - Southeast Division;19;2026-04-11;Inter Miami 2;Atlanta United 2;0;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;19;2026-04-12;Chattanooga;Orlando City B;3;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;19;2026-04-12;Huntsville;Chicago Fire 2;0;0;Dopo Rigori 2-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;20;2026-03-28;Carolina Core;Inter Miami 2;1;1;Dopo Rigori 0-2
USA;MLS Next Pro - Eastern Conference - Southeast Division;20;2026-03-29;Chattanooga;Columbus Crew 2;2;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;20;2026-04-04;Crown Legacy;Atlanta United 2;2;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;21;2026-03-22;Chicago Fire 2;Carolina Core;0;0;Dopo Rigori 5-4
USA;MLS Next Pro - Eastern Conference - Southeast Division;21;2026-03-22;Huntsville;Chattanooga;2;2;Dopo Rigori 4-2
USA;MLS Next Pro - Eastern Conference - Southeast Division;21;2026-03-23;Crown Legacy;Atlanta United 2;3;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;21;2026-03-23;Orlando City B;Inter Miami 2;4;4;Dopo Rigori 4-2
USA;MLS Next Pro - Eastern Conference - Southeast Division;22;2026-03-14;Carolina Core;Orlando City B;2;3;
USA;MLS Next Pro - Eastern Conference - Southeast Division;22;2026-03-15;Chicago Fire 2;Chattanooga;2;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;22;2026-03-16;Atlanta United 2;Huntsville;4;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;22;2026-03-16;Crown Legacy;Inter Miami 2;3;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;23;2026-03-07;Crown Legacy;Huntsville;7;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;23;2026-03-08;Chattanooga;Connecticut FC;4;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;23;2026-03-09;Atlanta United 2;Carolina Core;2;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;23;2026-03-09;Orlando City B;Chicago Fire 2;2;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;24;2026-02-28;Inter Miami 2;Chicago Fire 2;1;1;Dopo Rigori 5-? (dato incompleto nella fonte)
USA;MLS Next Pro - Eastern Conference - Southeast Division;24;2026-03-01;Chattanooga;Crown Legacy;1;4;
USA;MLS Next Pro - Eastern Conference - Southeast Division;24;2026-03-03;Orlando City B;Huntsville;1;3;
USA;MLS Next Pro - Eastern Conference - Southeast Division;24;2026-08-23;Carolina Core;Cincinnati 2;1;3;
USA;MLS Next Pro - Eastern Conference - Southeast Division;25;2026-08-17;Huntsville;Inter Miami 2;2;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;25;2026-08-18;Atlanta United 2;Chicago Fire 2;2;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;25;2026-08-20;Crown Legacy;Connecticut FC;0;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;26;2026-08-20;Inter Miami 2;New England Revolution 2;4;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;26;2026-08-24;Crown Legacy;Chattanooga;3;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;26;2026-08-24;Huntsville;Columbus Crew 2;1;0;
USA;MLS Next Pro - Eastern Conference - Southeast Division;27;2026-08-22;Atlanta United 2;Orlando City B;5;1;
USA;MLS Next Pro - Eastern Conference - Southeast Division;28;2026-08-29;Chattanooga;Carolina Core;5;2;
USA;MLS Next Pro - Eastern Conference - Southeast Division;28;2026-08-29;Inter Miami 2;Atlanta United 2;1;1;Dopo rigori 4-5
