Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;USL League Two - Great Forest Division;2026;1;2026-05-17;Akron City;Buffalo;1;1;
USA;USL League Two - Great Forest Division;2026;1;2026-05-17;Pittsburgh Riverhounds 2;Cleveland Force;5;0;
USA;USL League Two - Great Forest Division;2026;2;2026-05-21;Akron City;Cleveland Force;1;4;
USA;USL League Two - Great Forest Division;2026;2;2026-05-21;Steel City;Lorain County Leviathan;0;0;
USA;USL League Two - Great Forest Division;2026;3;2026-05-22;Pittsburgh Riverhounds 2;Erie Sports Center;2;0;
USA;USL League Two - Great Forest Division;2026;4;2026-05-25;Lorain County Leviathan;Buffalo;1;3;
USA;USL League Two - Great Forest Division;2026;5;2026-05-27;Buffalo;Erie Sports Center;4;0;
USA;USL League Two - Great Forest Division;2026;6;2026-05-28;Pittsburgh Riverhounds 2;Steel City;0;2;
USA;USL League Two - Great Forest Division;2026;7;2026-05-30;Steel City;Akron City;1;0;
USA;USL League Two - Great Forest Division;2026;8;2026-05-31;Cleveland Force;Pittsburgh Riverhounds 2;3;4;
USA;USL League Two - Great Forest Division;2026;8;2026-05-31;Erie Sports Center;Lorain County Leviathan;1;3;
USA;USL League Two - Great Forest Division;2026;9;2026-06-04;Lorain County Leviathan;Cleveland Force;3;1;
USA;USL League Two - Great Forest Division;2026;9;2026-06-04;Pittsburgh Riverhounds 2;Buffalo;0;0;
USA;USL League Two - Great Forest Division;2026;10;2026-06-06;Erie Sports Center;Cleveland Force;1;4;
USA;USL League Two - Great Forest Division;2026;10;2026-06-06;Steel City;Buffalo;3;0;
USA;USL League Two - Great Forest Division;2026;11;2026-06-07;Lorain County Leviathan;Pittsburgh Riverhounds 2;3;2;
USA;USL League Two - Great Forest Division;2026;12;2026-06-10;Cleveland Force;Akron City;1;3;
USA;USL League Two - Great Forest Division;2026;12;2026-06-10;Erie Sports Center;Buffalo;0;5;
USA;USL League Two - Great Forest Division;2026;13;2026-06-11;Steel City;Pittsburgh Riverhounds 2;0;0;
USA;USL League Two - Great Forest Division;2026;14;2026-06-13;Buffalo;Cleveland Force;4;2;
USA;USL League Two - Great Forest Division;2026;14;2026-06-13;Steel City;Erie Sports Center;4;0;
USA;USL League Two - Great Forest Division;2026;15;2026-06-14;Lorain County Leviathan;Akron City;4;1;
USA;USL League Two - Great Forest Division;2026;16;2026-06-17;Cleveland Force;Erie Sports Center;4;3;
USA;USL League Two - Great Forest Division;2026;17;2026-06-18;Pittsburgh Riverhounds 2;Lorain County Leviathan;3;2;
USA;USL League Two - Great Forest Division;2026;18;2026-06-20;Cleveland Force;Lorain County Leviathan;0;5;
USA;USL League Two - Great Forest Division;2026;19;2026-06-21;Akron City;Steel City;0;1;
USA;USL League Two - Great Forest Division;2026;19;2026-06-21;Buffalo;Pittsburgh Riverhounds 2;3;1;
USA;USL League Two - Great Forest Division;2026;20;2026-06-24;Cleveland Force;Buffalo;1;7;
USA;USL League Two - Great Forest Division;2026;20;2026-06-24;Pittsburgh Riverhounds 2;Akron City;2;1;
USA;USL League Two - Great Forest Division;2026;21;2026-06-25;Erie Sports Center;Steel City;1;3;
USA;USL League Two - Great Forest Division;2026;22;2026-06-27;Buffalo;Steel City;1;1;
USA;USL League Two - Great Forest Division;2026;20260628;2026-06-28;Akron City;Lorain County Leviathan;4;0;
