Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;USL League Two - Mid South Division;2026;1;2026-05-17;Louisiana;Memphis FC;1;0;
USA;USL League Two - Mid South Division;2026;1;2026-05-17;Red River;Hattiesburg;2;2;
USA;USL League Two - Mid South Division;2026;2;2026-05-21;Louisiana;Mississippi Brilla;2;3;
USA;USL League Two - Mid South Division;2026;3;2026-05-23;Red River;Jackson Boom;3;1;
USA;USL League Two - Mid South Division;2026;4;2026-05-24;Mississippi Brilla;Little Rock Rangers;0;0;
USA;USL League Two - Mid South Division;2026;5;2026-05-25;Louisiana;Jackson Boom;1;0;
USA;USL League Two - Mid South Division;2026;6;2026-05-28;Mississippi Brilla;Hattiesburg;2;2;
USA;USL League Two - Mid South Division;2026;7;2026-05-29;Memphis FC;Louisiana;2;5;
USA;USL League Two - Mid South Division;2026;8;2026-05-31;Jackson Boom;Louisiana;0;5;
USA;USL League Two - Mid South Division;2026;8;2026-05-31;Little Rock Rangers;Hattiesburg;2;1;
USA;USL League Two - Mid South Division;2026;8;2026-05-31;Memphis FC;Red River;0;0;
USA;USL League Two - Mid South Division;2026;9;2026-06-04;Jackson Boom;Memphis FC;0;1;
USA;USL League Two - Mid South Division;2026;9;2026-06-04;Mississippi Brilla;Red River;3;2;
USA;USL League Two - Mid South Division;2026;10;2026-06-07;Hattiesburg;Memphis FC;3;3;
USA;USL League Two - Mid South Division;2026;10;2026-06-07;Little Rock Rangers;Jackson Boom;2;0;
USA;USL League Two - Mid South Division;2026;10;2026-06-07;Louisiana;Red River;1;1;
USA;USL League Two - Mid South Division;2026;11;2026-06-11;Hattiesburg;Red River;3;1;
USA;USL League Two - Mid South Division;2026;11;2026-06-11;Jackson Boom;Little Rock Rangers;0;3;
USA;USL League Two - Mid South Division;2026;12;2026-06-14;Hattiesburg;Mississippi Brilla;3;1;
USA;USL League Two - Mid South Division;2026;12;2026-06-14;Louisiana;Little Rock Rangers;1;3;
USA;USL League Two - Mid South Division;2026;12;2026-06-14;Red River;Memphis FC;4;1;
USA;USL League Two - Mid South Division;2026;13;2026-06-18;Jackson Boom;Red River;0;3;
USA;USL League Two - Mid South Division;2026;13;2026-06-18;Memphis FC;Little Rock Rangers;0;1;
USA;USL League Two - Mid South Division;2026;14;2026-06-21;Little Rock Rangers;Mississippi Brilla;1;0;
USA;USL League Two - Mid South Division;2026;14;2026-06-21;Memphis FC;Hattiesburg;3;1;
USA;USL League Two - Mid South Division;2026;14;2026-06-21;Red River;Louisiana;4;1;
USA;USL League Two - Mid South Division;2026;15;2026-06-24;Louisiana;Hattiesburg;3;1;
USA;USL League Two - Mid South Division;2026;16;2026-06-25;Mississippi Brilla;Memphis FC;3;3;
