LeagueId;CanonicalTeam;SourceTeam;MappingType;Notes
Finland_Kolmonen_North;KajHa;KajHa;CANONICAL;
Finland_Kolmonen_North;KePS;KePS;CANONICAL;
Finland_Kolmonen_North;KaPa;KaPa;CANONICAL;
Finland_Kolmonen_North;KaPa;KaPa Kajaani;ALIAS;
Finland_Kolmonen_North;Haukiputaan Pallo;Haukiputaan Pallo;CANONICAL;
Finland_Kolmonen_North;Haukiputaan Pallo;HauPa;ALIAS;
Finland_Kolmonen_North;Villan Pojat;Villan Pojat;CANONICAL;
Finland_Kolmonen_North;RoPo;RoPo;CANONICAL;
Finland_Kolmonen_North;Ajax Sarkkiranta;Ajax Sarkkiranta;CANONICAL;
Finland_Kolmonen_North;Hercules-j;Hercules-j;CANONICAL;
Finland_Kolmonen_North;Santa Claus;Santa Claus;CANONICAL;
Finland_Kolmonen_North;Santa Claus;FC Santa Claus;ALIAS;
Finland_Kolmonen_North;Ponkilan Pantterit;Ponkilan Pantterit;CANONICAL;
Finland_Kolmonen_North;Ponkilan Pantterit;PonPa;ALIAS;
Finland_Kolmonen_Southern_Group1;EIF/Akademi;EIF/Akademi;CANONICAL;
Finland_Kolmonen_Southern_Group1;EIF/Akademi;EIF Academy;ALIAS;
Finland_Kolmonen_Southern_Group1;Etelä-Espoon Pallo;Etelä-Espoon Pallo;CANONICAL;
Finland_Kolmonen_Southern_Group1;Etelä-Espoon Pallo;EsPa;ALIAS;
Finland_Kolmonen_Southern_Group1;Pöxyt;Pöxyt;CANONICAL;
Finland_Kolmonen_Southern_Group1;Pöxyt;Poxyt;ALIAS;
Finland_Kolmonen_Southern_Group1;LePa;LePa;CANONICAL;
Finland_Kolmonen_Southern_Group1;NuPS;NuPS;CANONICAL;
Finland_Kolmonen_Southern_Group1;LoPa;LoPa;CANONICAL;
Finland_Kolmonen_Southern_Group1;Gilla;Gilla;CANONICAL;
Finland_Kolmonen_Southern_Group1;MPS;MPS;CANONICAL;
Finland_Kolmonen_Southern_Group1;MPS;MPS Old Stars;ALIAS;
